uuid,hero,category,mech,name,count,코스트,키워드,desc,,,
,전사,메크 카드,H,일격,1,2,,"사거리 1 내 적 또는 포탑 지정 공격. 명중 시 드로우:1, +1 충전",,,
,전사,메크 카드,H,휩쓸기,1,4,,"사거리 2 내 아군 정글 타일 지정, 이동. 이후 사거리 1 내 모든 적 또는 포탑 공격: 1, 명중한 수만큼 +1 충전.",,,
,원딜,메크 패시브,I,,,,,교전 중 공격이 모든 적을 대상으로 함. (이 메크는 다른 sniper 메크 공격력의 절반 수준임),,,
,원딜,메크 카드,I,전장 강타,5,4,,스택. 스택 수만큼 전장 내 무작위 적 대상 공격.,,,
,원딜,메크 카드,I,계시,1,-1,,"이 카드가 핸드에 있을 때, 적이 카드로 인해 피해를 입을 시마다 대상 공격. (이 카드로 인한 피해 제외)",,,
,원딜,메크 카드,I,결속,1,2,,"소멸. 전장 내 아군 지정. 시전자가 전투 참여 시, 지정한 아군도 전투에 참여함.",,,
,원딜,메크 패시브,J,,,,,"전장 공격 명중 시, 공격력 1 증가.",,,
,원딜,메크 카드,J,락온,0,0,,"휘발성, 소멸. 이번 작전 단계동안 이 메크가 피해를 입힌 적 모두 공격",,,
,원딜,메크 카드,J,테러,1,2,,"사거리 2 내 모든 적 공격. 1회 이상 명중 시, 핸드에 [락온] 생성",,,
,원딜,메크 카드,J,파괴,1,5,,"전장 내 적 지정, 대상 1칸 이내 모든 적 대상 공격. 1회 이상 명중 시, [락온] 핸드에 생성",,,
,지원,메크 카드,K,공격 명령,1,2,,"스택. 아군 또는 적이 처치될 때마다 스택+1. 전장 내 아군 지정, 대상 체력 30% 회복 및 사거리 1 내 모든 적 공격.",,,
,지원,메크 카드,K,투자,1,2,,"버리기: 1, 덱에 [공격 명령] 생성.",,,
,지원,메크 카드,K,간보기,1,6,,"사거리 2 내 적 지정 공격. 명중 시 대상 1칸 이내 전투 개시: 3, 빗나갈 시, 전략 점수+4",,,
,전사,메크 패시브,L,,,,,"전장에서 카드 공격을 명중하거나, 교전에서 적에게 피해를 줄 때마다 대상의 공격력 1% 만큼 증가 및 최대 체력 5 증가.",,,
,전사,메크 카드,L,유령의 올가미,1,3,,사거리 2 내 적 지정 공격: 2.,,,
,전사,메크 카드,L,전쟁의 사슬,1,3,,"사거리 1 내 적 지정, 대상과 전투 개시: {영혼 포식 충전 수}.",,,
,전사,메크 카드,L,영혼 포식,1,2,,"사거리 1 내 모든 적 공격. 명중한 횟수마다 +1 충전, 시전자 체력 10% 회복. 충전 수만큼 [전쟁의 사슬] 전투 개시 라운드가 증가.",,,
,탱커,메크 패시브,N,,,,,"피해를 받을 때, 받은 피해의 20% 만큼 최대 체력 증가. 적에게 피해를 줄 때, 준 피해의 20% 만큼 최대 체력 증가. 자신의 레인 포탑을 파괴할 때마다, 덱에 [고통과 쾌감] 생성.",,,
,탱커,메크 카드,N,주먹다짐,2,3,,"소멸. 사거리 1 내 적 지정, 대상과 자신이 2회씩 서로 공격. 대상의 공격은 필중.",,,
,탱커,메크 카드,N,고통과 쾌감,0,4,,전장 내 모든 적이 시전자를 필중 공격. 전략 점수+4,,,
,탱커,메크 카드,N,제압 전투,1,8,,"사거리 2 내 모든 적 지정, 전투 개시: 4",,,
,암살자,메크 패시브,P,,,,,"게임 시작: +20 충전 (최대 100 충전). 교전 중 적에게 피해를 줄 때, 1 충전마다 1% 확률로 1회 더 공격 및 충전 절반 소모.",,,
,암살자,메크 카드,P,리부트,3,0,,소멸. +50 충전. 덱에서 [단계 A] 탐색,,,
,암살자,메크 카드,P,단계 A,1,2,,소멸. 덱에 [단계 B] 생성. 전장 내 적 지정하여 '목표' 부여. 목표: 대상이 시전자에게 받는 피해+15%,,,
,암살자,메크 카드,P,단계 B,0,5,,소멸. 목표가 부여된 적 대상 1칸 이내 전투 개시:3. 교전에서 적이 처치되면 덱에 [단계 C] 생성. 처치되지 않으면 덱에 [단계 A] 생성.,,,
,암살자,메크 카드,P,단계 C,0,0,,"소멸. 덱에 [단계 A] 생성. 다음 강화 중 하나를 선택해 적용.
- 알파: 다음 [단계 A] 사용 시, 덱이 아닌 핸드에 [단계 B] 생성.
- 베타: 다음 [단계 B] 사용 시, +100 충전.
- 감마: 다음 [단계 C] 사용 시, 성장 점수+10%",,,
,지원,메크 패시브,Q,,,,,"이 메크의 지원을 받는 아군이 전장에서 적에게 피해를 줄 때마다, 이 메크 대상 적을 공격.",,,
,지원,메크 카드,Q,지원 보호,2,2,,"전장 내 아군 지정, 대상에게 시전자의 공격력 200% 보호막 생성",,,
,지원,메크 카드,Q,수호,1,2,,전장 내 모든 아군에게 시전자의 공격력 200% 보호막 생성,,,
,암살자,메크 카드,R,약자 멸시,4,-1,,"스택, 이 카드가 핸드에 있을 때 교전 시 자신에게 스택 수만큼 '약자 멸시' 스택 부여. 약자 멸시: 체력이 가장 적은 적을 공격 후 스택-1",,,
,암살자,메크 카드,R,전격전,1,6,,"[약자 멸시] 탐색. 이동: 2, 이후 시전자 1칸 이내 전투 개시: 3",,,
,암살자,메크 카드,R,즉발 베기,1,2,,"이동: 2, 이후 사거리 1 내 모든 적 공격",,,
,지원,메크 카드,S,강타,1,1,,"전장 내 아군 지정, 대상이 다음 교전에서 적에게 피해를 주면 대상 기절. 한 교전 내에 같은 적에게 두 번 이상 적용되지 않음. 기절: 해당 라운드 동안 행동 불능.",,,
,지원,메크 카드,S,탈진,1,2,,사거리 1 내 적 지정 공격. 명중 시 대상은 이번 작전 단계동안 전투 참여 불가.,,,
,지원,메크 카드,S,변덕,1,0,,"묘지 드로우: 3, 이번 작전 단계동안 해당 카드들은 비용 1 감소",,,
,암살자,메크 패시브,T,,,,,"카드를 사용하거나 버릴 때마다, +1 충전. (최대 6 충전) 최대 충전 시 스택을 모두 소모해 사거리 1 내 모든 적 공격",,,
,암살자,메크 카드,T,명상,3,0,,"소멸. 핸드에 이 카드보다 왼쪽에 있는 모든 카드 버리기, 버린 수만큼 드로우",,,
,암살자,메크 카드,T,질풍,1,2,,"핸드 내 가장 오른쪽 카드 버리기: 2, 드로우: 2. 전장 내 적 지정 공격. 대상 위치로 이동하며, 이번 작전 단계가 끝나면 이전 위치로 복귀.",,,
,암살자,메크 카드,T,신속,1,2,,핸드 내 가장 오른쪽 카드 버리기: 2. 이번 작전 단계에서 피해를 입힌 적들에게 다시 공격.,,,
,지원,메크 카드,U,밸런스,1,-1,,"이 카드가 핸드에 있을 때, 다른 이 메크의 카드가 성장 점수를 소모하지 않음",,,
,지원,메크 카드,U,파란 약,1,3,,"전장 내 아군 지정, 시전자의 성장 점수 100 소모 및 대상이 전장 이탈까지 성장 효율+20%",,,
,지원,메크 카드,U,붉은 가루,1,2,,"전장 내 아군 지정, 시전자의 성장 점수 100 소모 및 대상 최대 체력 20 증가",,,
,지원,메크 카드,U,녹색 병,1,2,,"전장 내 아군 지정, 시전자의 성장 점수 100 소모 및 대상 공격력 2 증가",,,
,지원,메크 패시브,V,,,,,"교전 시, 모든 아군이 한 번에 한해 공격 받을 시 체력 1 이하로 내려가지 않음. ",,,
,지원,메크 카드,V,죽음의 손가락,,4,,"전장 내 적 지정, 대상은 전장 이탈까지 받는 피해+25%, 대상의 성장 점수 10%만큼 현상금 지정. 이 효과는 중첩되지 않음.",,,
,지원,메크 카드,V,확신,,3,,사거리 1 내 적 지정 공격. 대상의 현상금 2%{설명에서 실제 적용 현상금 표시}만큼 피해.,,,
,지원,메크 카드,V,사형 선고,,8,,"사거리 2 내 적 지정, 대상을 시전자의 타일로 이동시키고 시전자 1칸 이내 전투 개시: 3",,,
,암살자,메크 카드,W,최면,1,2,,"전장 내 적 지정, 대상 이동: 1",,,
,암살자,메크 카드,W,매혹적인 침공,1,6,,사거리 2 내 모든 적을 시전자 타일로 이동. 시전자 1칸 이내 전투 개시: 4,,,
,암살자,메크 카드,W,매혹,1,4,,전장 내 아군 또는 적 지정. 5턴 동안 대상이 얻는 성장 점수와 동일한 성장 점수 획득,,,
